State_Name,District_Name,latitude,longitude
Andhra Pradesh,ANANTAPUR,14.72422,77.4306738
Andhra Pradesh,CHITTOOR,13.2026484,79.0032253
Andhra Pradesh,EAST GODAVARI,16.9956638,81.7154378
Andhra Pradesh,GUNTUR,16.2915189,80.4541588
Andhra Pradesh,KADAPA,14.4752936,78.8216861
Andhra Pradesh,KRISHNA,16.21277,81.0306958
Andhra Pradesh,KURNOOL,15.8309251,78.0425373
Andhra Pradesh,PRAKASAM,15.6642643,79.4733001
Andhra Pradesh,SPSR NELLORE,14.7174388,79.6605057
Andhra Pradesh,SRIKAKULAM,18.2949307,83.8938844
Andhra Pradesh,VISAKHAPATANAM,17.68009,83.20161
Andhra Pradesh,VIZIANAGARAM,18.1141255,83.4114389
Andhra Pradesh,WEST GODAVARI,16.6443028,81.5885247
Arunachal Pradesh,ANJAW,28.1114301,96.8269996
Arunachal Pradesh,CHANGLANG,27.272007,96.065526
Arunachal Pradesh,DIBANG VALLEY,28.8291044,95.9554096
Arunachal Pradesh,EAST KAMENG,27.557781,92.9673843
Arunachal Pradesh,EAST SIANG,28.0742219,95.4178149
Arunachal Pradesh,KURUNG KUMEY,27.9863676,93.1578347
Arunachal Pradesh,LOHIT,28.0350161,96.1713515
Arunachal Pradesh,LOWER DIBANG VALLEY,28.2149563,95.878774
Arunachal Pradesh,LOWER SUBANSIRI,27.5326327,93.7823245
Arunachal Pradesh,PAPUM PARE,27.2863666,93.6187716
Arunachal Pradesh,TAWANG,27.57417,91.92437
Arunachal Pradesh,TIRAP,27.030169,95.4979175
Arunachal Pradesh,UPPER SIANG,28.7312046,95.0377315
Arunachal Pradesh,UPPER SUBANSIRI,28.2596054,94.0938106
Arunachal Pradesh,WEST KAMENG,27.3386269,92.4333662
Arunachal Pradesh,WEST SIANG,28.1970922,94.48407
Assam,BAKSA,26.6275689,91.3388551
Assam,BARPETA,26.345941,91.039708
Assam,BONGAIGAON,26.4800126,90.5580387
Assam,CACHAR,24.75864,92.8816648
Assam,CHIRANG,26.6464231,90.624157
Assam,DARRANG,26.4373481,92.0047145
Assam,DHEMAJI,27.5945155,94.7192098
Assam,DHUBRI,26.132275,90.1249962
Assam,DIBRUGARH,27.4844597,94.9019447
Assam,DIMA HASAO,25.4003625,93.0752292
Assam,GOALPARA,26.0491877,90.6001859
Assam,GOLAGHAT,26.5108262,93.9743686
Assam,HAILAKANDI,24.6846916,92.5645836
Assam,JORHAT,26.7577925,94.2079645
Assam,KAMRUP,26.146886,91.2227397
Assam,KAMRUP METRO,26.1161783,91.7972485
Assam,KARBI ANGLONG,26.0,93.5
Assam,KARIMGANJ,24.5828195,92.3725486
