State_Name,District_Name,location,latitude,longitude
Andhra Pradesh,ANANTAPUR,"ANANTAPUR, Andhra Pradesh, India",14.72422,77.4306738
Andhra Pradesh,CHITTOOR,"CHITTOOR, Andhra Pradesh, India",13.2026484,79.0032253
Andhra Pradesh,EAST GODAVARI,"EAST GODAVARI, Andhra Pradesh, India",16.9956638,81.7154378
Andhra Pradesh,GUNTUR,"GUNTUR, Andhra Pradesh, India",16.2915189,80.4541588
Andhra Pradesh,KADAPA,"KADAPA, Andhra Pradesh, India",14.4752936,78.8216861
Andhra Pradesh,KRISHNA,"KRISHNA, Andhra Pradesh, India",16.21277,81.0306958
Andhra Pradesh,KURNOOL,"KURNOOL, Andhra Pradesh, India",15.8309251,78.0425373
Andhra Pradesh,PRAKASAM,"PRAKASAM, Andhra Pradesh, India",15.6642643,79.4733001
Andhra Pradesh,SPSR NELLORE,"SPSR NELLORE, Andhra Pradesh, India",14.7174388,79.6605057
Andhra Pradesh,SRIKAKULAM,"SRIKAKULAM, Andhra Pradesh, India",18.2949307,83.8938844
Andhra Pradesh,VISAKHAPATANAM,"VISAKHAPATANAM, Andhra Pradesh, India",,
Andhra Pradesh,VIZIANAGARAM,"VIZIANAGARAM, Andhra Pradesh, India",18.1141255,83.4114389
Andhra Pradesh,WEST GODAVARI,"WEST GODAVARI, Andhra Pradesh, India",16.6443028,81.5885247
Arunachal Pradesh,ANJAW,"ANJAW, Arunachal Pradesh, India",28.1114301,96.8269996
Arunachal Pradesh,CHANGLANG,"CHANGLANG, Arunachal Pradesh, India",27.272007,96.065526
Arunachal Pradesh,DIBANG VALLEY,"DIBANG VALLEY, Arunachal Pradesh, India",28.8291044,95.9554096
Arunachal Pradesh,EAST KAMENG,"EAST KAMENG, Arunachal Pradesh, India",27.557781,92.9673843
Arunachal Pradesh,EAST SIANG,"EAST SIANG, Arunachal Pradesh, India",28.0742219,95.4178149
Arunachal Pradesh,KURUNG KUMEY,"KURUNG KUMEY, Arunachal Pradesh, India",27.9863676,93.1578347
Arunachal Pradesh,LOHIT,"LOHIT, Arunachal Pradesh, India",28.0350161,96.1713515
Arunachal Pradesh,LOWER DIBANG VALLEY,"LOWER DIBANG VALLEY, Arunachal Pradesh, India",28.2149563,95.878774
Arunachal Pradesh,LOWER SUBANSIRI,"LOWER SUBANSIRI, Arunachal Pradesh, India",27.5326327,93.7823245
Arunachal Pradesh,PAPUM PARE,"PAPUM PARE, Arunachal Pradesh, India",27.2863666,93.6187716
Arunachal Pradesh,TAWANG,"TAWANG, Arunachal Pradesh, India",,
Arunachal Pradesh,TIRAP,"TIRAP, Arunachal Pradesh, India",27.030169,95.4979175
Arunachal Pradesh,UPPER SIANG,"UPPER SIANG, Arunachal Pradesh, India",28.7312046,95.0377315
Arunachal Pradesh,UPPER SUBANSIRI,"UPPER SUBANSIRI, Arunachal Pradesh, India",28.2596054,94.0938106
Arunachal Pradesh,WEST KAMENG,"WEST KAMENG, Arunachal Pradesh, India",27.3386269,92.4333662
Arunachal Pradesh,WEST SIANG,"WEST SIANG, Arunachal Pradesh, India",28.1970922,94.48407
Assam,BAKSA,"BAKSA, Assam, India",26.6275689,91.3388551
Assam,BARPETA,"BARPETA, Assam, India",26.345941,91.039708
