state_name,district_name,location,latitude,longitude
Andhra Pradesh,Karimnagar,"Karimnagar, Andhra Pradesh, India",,
Andhra Pradesh,Medak,"Medak, Andhra Pradesh, India",,
Andhra Pradesh,Nalgonda,"Nalgonda, Andhra Pradesh, India",,
Andhra Pradesh,Rangareddi,"Rangareddi, Andhra Pradesh, India",,
Andhra Pradesh,Visakhapatanam,"Visakhapatanam, Andhra Pradesh, India",,
Andhra Pradesh,Warangal,"Warangal, Andhra Pradesh, India",,
Chhattisgarh,Dakshin Bastar Dantewada,"Dakshin Bastar Dantewada, Chhattisgarh, India",,
The Dadra And Nagar Haveli And Daman And Diu,Surguja,"Surguja, The Dadra And Nagar Haveli And Daman And Diu, India",,
Gujarat,Dohad,"Dohad, Gujarat, India",,
Jharkhand,East Singhbum,"East Singhbum, Jharkhand, India",,
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,"Dadra And Nagar Haveli, The Dadra And Nagar Haveli And Daman And Diu, India",,
Uttar Pradesh,Kushi Nagar,"Kushi Nagar, Uttar Pradesh, India",,
Uttar Pradesh,Sant Kabeer Nagar,"Sant Kabeer Nagar, Uttar Pradesh, India",,
Uttarakhand,Rudra Prayag,"Rudra Prayag, Uttarakhand, India",,
Uttarakhand,Uttar Kashi,"Uttar Kashi, Uttarakhand, India",,
Uttarakhand,Udam Singh Nagar,"Udam Singh Nagar, Uttarakhand, India",,
West Bengal,Pashchim Medinipur,"Pashchim Medinipur, West Bengal, India",,
Telangana,Rangareddi,"Rangareddi, Telangana, India",,
Gujarat,Chhotaudepur,"Chhotaudepur, Gujarat, India",,
