,state_name,district_name
0,Andhra Pradesh,Anantapur
1,Andhra Pradesh,Krishna
2,Andhra Pradesh,West Godavari
3,Telangana,Adilabad
4,Andhra Pradesh,Chittoor
5,Andhra Pradesh,East Godavari
6,Andhra Pradesh,Guntur
7,Andhra Pradesh,Kadapa
8,Andhra Pradesh,Karimnagar
9,Andhra Pradesh,Khammam
10,Andhra Pradesh,Kurnool
11,Telangana,Mahabubnagar
12,Andhra Pradesh,Medak
13,Andhra Pradesh,Nalgonda
14,Andhra Pradesh,Nizamabad
15,Andhra Pradesh,Prakasam
16,Andhra Pradesh,Rangareddi
17,Andhra Pradesh,Sri Potti Sriramulu Nellore
18,Andhra Pradesh,Srikakulam
19,Andhra Pradesh,Visakhapatanam
20,Andhra Pradesh,Vizianagaram
21,Andhra Pradesh,Warangal
22,Arunachal Pradesh,Anjaw
23,Arunachal Pradesh,Changlang
24,Arunachal Pradesh,Dibang Valley
25,Arunachal Pradesh,East Kameng
26,Arunachal Pradesh,East Siang
27,Arunachal Pradesh,Kurung Kumey
28,Arunachal Pradesh,Lohit
29,Arunachal Pradesh,Lower Dibang Valley
30,Arunachal Pradesh,Lower Subansiri
31,Arunachal Pradesh,Papum Pare
32,Arunachal Pradesh,Tawang
33,Arunachal Pradesh,Tirap
34,Arunachal Pradesh,Upper Siang
35,Arunachal Pradesh,Upper Subansiri
36,Arunachal Pradesh,West Siang
37,Assam,Baksa
38,Assam,Barpeta
39,Assam,Bongaigaon
40,Assam,Cachar
41,Assam,Chirang
42,Assam,Darrang
43,Assam,Dhemaji
44,Assam,Dhubri
45,Assam,Dibrugarh
46,Assam,Dima Hasao
47,Assam,Goalpara
48,Assam,Golaghat
49,Assam,Hailakandi
50,Assam,Jorhat
51,Assam,Kamrup
52,Assam,Kamrup Metro
53,Assam,Karbi Anglong
54,Assam,Karimganj
55,Assam,Kokrajhar
56,Assam,Lakhimpur
57,Assam,Marigaon
58,Assam,Nagaon
59,Assam,Nalbari
60,Assam,Sivasagar
61,Assam,Sonitpur
62,Assam,Tinsukia
63,Assam,Udalguri
64,Bihar,Araria
65,Bihar,Arwal
66,Bihar,Aurangabad
67,Bihar,Banka
68,Bihar,Begusarai
69,Bihar,Bhagalpur
70,Bihar,Bhojpur
71,Bihar,Buxar
72,Bihar,Darbhanga
73,Bihar,Gaya
74,Bihar,Gopalganj
75,Bihar,Jamui
76,Bihar,Jehanabad
77,Bihar,Kaimur (Bhabua)
78,Bihar,Katihar
79,Bihar,Khagaria
80,Bihar,Kishanganj
81,Bihar,Lakhisarai
82,Bihar,Madhepura
83,Bihar,Madhubani
84,Bihar,Munger
85,Bihar,Muzaffarpur
86,Bihar,Nalanda
87,Bihar,Nawada
88,Bihar,Pashchim Champaran
89,Bihar,Patna
90,Bihar,Purbi Champaran
91,Bihar,Purnia
92,Bihar,Rohtas
93,Bihar,Saharsa
94,Bihar,Samastipur
95,Bihar,Saran
96,Bihar,Sheikhpura
97,Bihar,Sheohar
98,Bihar,Sitamarhi
99,Bihar,Siwan
100,Bihar,Supaul
101,Bihar,Vaishali
102,Chhattisgarh,Bastar
103,Chhattisgarh,Bijapur
104,Chhattisgarh,Bilaspur
105,Chhattisgarh,Dakshin Bastar Dantewada
106,Chhattisgarh,Dhamtari
107,Chhattisgarh,Durg
108,Chhattisgarh,Janjgir-Champa
109,Chhattisgarh,Jashpur
110,Chhattisgarh,Kabirdham
111,Chhattisgarh,Kanker
112,Chhattisgarh,Korba
113,Chhattisgarh,Korea
114,Chhattisgarh,Mahasamund
115,Chhattisgarh,Narayanpur
116,Chhattisgarh,Raigarh
117,Chhattisgarh,Raipur
118,Chhattisgarh,Rajnandgaon
119,Chhattisgarh,Surguja
120,The Dadra And Nagar Haveli And Daman And Diu,Surguja
121,Goa,North Goa
122,Gujarat,Ahmadabad
123,Gujarat,Amreli
124,Gujarat,Anand
125,Gujarat,Banas Kantha
126,Gujarat,Bharuch
127,Gujarat,Bhavnagar
128,Gujarat,Dang
129,Gujarat,Dohad
130,Gujarat,Gandhinagar
131,Gujarat,Jamnagar
132,Gujarat,Junagadh
133,Gujarat,Kachchh
134,Gujarat,Kheda
135,Gujarat,Mahesana
136,Gujarat,Narmada
137,Gujarat,Navsari
138,Gujarat,Panch Mahals
139,Gujarat,Patan
140,Gujarat,Porbandar
141,Gujarat,Rajkot
142,Gujarat,Sabar Kantha
143,Gujarat,Surat
144,Gujarat,Surendranagar
145,Gujarat,Tapi
146,Gujarat,Vadodara
147,Gujarat,Valsad
148,Haryana,Ambala
149,Haryana,Bhiwani
150,Haryana,Fatehabad
151,Haryana,Gurgaon
152,Haryana,Hisar
153,Haryana,Jhajjar
154,Haryana,Jind
155,Haryana,Kaithal
156,Haryana,Karnal
157,Haryana,Kurukshetra
158,Haryana,Mahendragarh
159,Haryana,Palwal
160,Haryana,Panchkula
161,Haryana,Panipat
162,Haryana,Rewari
163,Haryana,Rohtak
164,Haryana,Sirsa
165,Haryana,Sonipat
166,Haryana,Yamunanagar
167,Haryana,Faridabad
168,Haryana,Mewat
169,Himachal Pradesh,Kangra
170,Himachal Pradesh,Shimla
171,Himachal Pradesh,Sirmaur
172,Himachal Pradesh,Hamirpur
173,Himachal Pradesh,Mandi
174,Himachal Pradesh,Bilaspur
175,Himachal Pradesh,Chamba
176,Himachal Pradesh,Kullu
177,Himachal Pradesh,Solan
178,Himachal Pradesh,Una
179,Jammu And Kashmir,Samba
180,Jammu And Kashmir,Jammu
181,Jammu And Kashmir,Kathua
182,Jammu And Kashmir,Rajauri
